행정구역(동읍면)별,항목,2002.12,2002.12,2002.12,2002.12,2002.12,2002.12,2002.12,2002.12,2002.12,2002.12,2002.12,2002.12
행정구역(동읍면)별(3),항목,20 - 24세,25 - 29세,30 - 34세,35 - 39세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
강경읍,남,639,537,515,431,308,193,124,64,18,5,0,0
강경읍,여,552,484,452,441,403,317,217,114,41,15,3,0
연무읍,남,897,813,785,692,454,333,216,103,27,8,3,0
연무읍,여,719,661,599,594,654,506,305,165,64,28,3,2
성동면,남,317,260,181,199,237,146,77,32,13,1,1,0
성동면,여,270,136,111,162,287,179,117,88,46,17,5,0
광석면,남,327,253,183,182,224,155,79,36,14,4,0,0
광석면,여,236,142,137,132,297,196,102,71,26,14,3,0
노성면,남,216,195,171,146,161,94,73,35,9,4,2,0
노성면,여,179,140,132,107,206,144,106,50,17,6,1,0
상월면,남,211,170,134,139,167,121,67,42,18,4,0,0
상월면,여,143,81,63,96,225,152,102,82,42,8,1,1
부적면,남,232,183,160,121,163,116,84,32,15,4,1,0
부적면,여,187,128,98,119,215,154,108,63,34,12,2,0
연산면,남,377,319,242,252,238,181,110,51,19,6,0,0
연산면,여,310,160,184,193,290,241,150,90,40,20,0,0
벌곡면,남,159,133,94,87,104,65,52,19,14,3,0,0
벌곡면,여,104,57,49,56,137,116,88,39,23,11,0,0
양촌면,남,322,246,214,197,247,178,117,43,11,3,0,0
양촌면,여,248,147,150,150,307,246,145,63,34,8,4,1
가야곡면,남,234,219,174,162,177,115,67,55,17,2,0,0
가야곡면,여,182,137,102,109,226,145,101,57,29,15,2,1
은진면,남,345,225,159,170,168,104,73,21,8,2,0,0
은진면,여,307,129,96,135,227,148,88,58,34,8,1,0
채운면,남,198,132,96,105,121,94,53,32,10,1,1,0
채운면,여,167,83,70,87,167,137,83,43,19,8,3,0
취암동,남,1108,911,965,964,342,184,127,57,28,5,1,0
취암동,여,998,841,940,1027,468,318,224,128,39,24,3,1
부창동,남,759,706,1018,907,245,152,95,41,10,2,0,0
부창동,여,687,770,1118,929,369,269,172,115,53,12,5,0
